ParticipanteID	CPF	NomeRazaoSocial	TURMA_CURSO_AMARELO	TURMA_CURSO_VERDE	TURMA_CURSO_VERMELHO	TURMA_CURSO_AZUL	Cargo	Login	email	Telefone
2442	00000000022	PLACERAT VENENATIS ODIO PELLENTESQUE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	risus62168	2591299@email.com	(96) 77005813
2553	00000000023	ACCUMSAN LACUS SIT AMET	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	pretium48471	3097882@email.com	(20) 9754511
2664	00000000024	JUSTO CONDIMENTUM CURSUS VESTIBULUM	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	 Outro	purus67908	6731139@email.com	(3) 56871661
2775	00000000025	ET LECTUS A LACUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO	non53604	8430869@email.com	(64) 75802977
2886	00000000026	CONSEQUAT LACINIA ID NON	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	feugiat25710	3388561@email.com	(41) 32107006
2997	00000000027	TURPIS ETIAM ET TORTOR	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	est46009	3172706@email.com	(1) 97766911
3108	00000000028	IN LECTUS INTERDUM EUISMOD	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	dolor68579	2955601@email.com	(96) 51083075
3219	00000000029	PROIN NEQUE MASSA VOLUTPAT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	eget56846	3645105@email.com	(9) 66525038
3330	00000000030	ID NUNC ET PHARETRA	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	sapien15847	3480450@email.com	(80) 70176601
3441	00000000031	BIBENDUM PURUS CURABITUR IN	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	integer82691	7665648@email.com	(70) 42285084
3552	00000000032	NEQUE VITAE LIBERO VEHICULA	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	SUPERINTENDENTE	ut83813	2804704@email.com	(30) 85241979
3663	00000000033	FRINGILLA MORBI NUNC EROS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	accumsan45192	6429323@email.com	(56) 34375882
3774	00000000034	POSUERE ET METUS SIT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	nisl98364	7160841@email.com	(56) 72088767
3885	00000000035	AMET AUCTOR VENENATIS TORTOR	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	quis10333	71787@email.com	(22) 15948694
3996	00000000036	AENEAN PLACERAT EGESTAS VARIUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	lacinia95395	4899817@email.com	(28) 87137741
4107	00000000037	MAECENAS AT LIBERO LACUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	leo92088	7660857@email.com	(38) 21976303
4218	00000000038	PELLENTESQUE AC NISI JUSTO	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	suspendisse4927	3951303@email.com	(28) 76740153
4329	00000000039	PROIN	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	mattis63280	5907292@email.com	(23) 82893471
4440	00000000040	FAUCIBUS VIVERRA ULTRICIES ALIQUAM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	adipiscing49179	3575501@email.com	(21) 46186600
4551	00000000041	FEUGIAT NULLA EU NEQUE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	lectus17616	6835456@email.com	(23) 41339662
4662	00000000042	ELEIFEND BIBENDUM DONEC EGESTAS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	et44076	5785735@email.com	(6) 37965846
4773	00000000043	RHONCUS MOLESTIE VESTIBULUM LOBORTIS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	ullamcorper73580	2974291@email.com	(89) 4494722
4884	00000000044	EROS SIT AMET NUNC	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	OFICIAL ADMINISTRATIVO	cras77166	9016868@email.com	(81) 69517168
4995	00000000045	CONDIMENTUM VIVERRA FUSCE AT	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	nulla83581	9700719@email.com	(96) 79907603
5106	00000000046	LEO DUI CURABITUR CONVALLIS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	nunc46897	6258868@email.com	(82) 80282310
5217	00000000047	NEC SEM SED ORNARE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AGENTE ADMINISTRATIVO	placerat7826	7682482@email.com	(69) 46038376
5328	00000000048	MORBI TRISTIQUE VARIUS TRISTIQUE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ASSESSOR	pellentesque78779	2007247@email.com	(51) 38250567
5439	00000000049	SED VULPUTATE LACUS A	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	OFICIAL ESTADUAL DE TRÂNSITO	nisi34668	4414651@email.com	(41) 7172802
5550	00000000050	MASSA PELLENTESQUE LAOREET DONEC	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ASSISTENTE TECNICO	vel96954	7202391@email.com	(60) 55558961
5661	00000000051	DIGNISSIM MASSA SIT AMET	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	vestibulum75952	2227463@email.com	(25) 82659671
5772	00000000052	CONGUE TINCIDUNT NULLA TINCIDUNT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO II	hendrerit11781	8432566@email.com	(77) 63830165
5883	00000000053	URNA VEL URNA SUSCIPIT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	 Outro	sem37391	1058384@email.com	(20) 80519892
5994	00000000054	A TINCIDUNT SEM MALESUADA	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	TURMA 1 - 2014 - G3	OFICIAL ADMINISTRATIVO	vestibulum94363	7320068@email.com	(86) 98858717
6105	00000000055	MAURIS LACUS NEQUE VEHICULA	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	non61937	7752582@email.com	(17) 5623626
6216	00000000056	UT MI ULTRICES ULLAMCORPER	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	hendrerit42589	8400942@email.com	(41) 44253032
6327	00000000057	RUTRUM ERAT NAM VITAE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	tellus64869	9630041@email.com	(57) 51896665
6438	00000000058	PRETIUM FELIS QUISQUE ORNARE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	nulla4416	8101570@email.com	(82) 85011962
6549	00000000059	SUSCIPIT METUS EU VULPUTATE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	et26277	8406496@email.com	(79) 28947745
6660	00000000060	RISUS VENENATIS AT PHASELLUS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	erat5543	5138590@email.com	(87) 20204027
6771	00000000061	UT HENDRERIT DUI	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	nunc79597	1500249@email.com	(18) 73557146
6882	00000000062	NAM TRISTIQUE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	 Outro	pellentesque40890	1858899@email.com	(77) 84848007
6993	00000000063	LOREM UT ULLAMCORPER ALIQUAM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ENCARREGADO	eget30452	1389198@email.com	(2) 94949591
7104	00000000064	FELIS NISI CONSECTETUR IPSUM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO II	sapien22211	8500880@email.com	(59) 31482855
7215	00000000065	VEL SUSCIPIT DUI NUNC	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ASSESSOR	at62280	9246169@email.com	(91) 4831116
7326	00000000066	QUIS TELLUS NULLA ELEMENTUM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	1.O TENENTE PM	metus33124	7007263@email.com	(35) 21036110
7437	00000000067	JUSTO EST EGET LOBORTIS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	auctor33070	7908390@email.com	(18) 81259972
7548	00000000068	MAGNA FAUCIBUS PRETIUM SED	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	varius	8171817@email.com	(28) 73040304
7659	00000000069	MOLLIS BLANDIT ODIO NEC	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	mauris29303	9942340@email.com	(71) 17964278
7770	00000000070	ALIQUAM EST PRAESENT MATTIS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	DIRETOR I	eget37741	5502724@email.com	(90) 24952083
7881	00000000071	JUSTO UT TURPIS CONSEQUAT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	mattis27821	41281@email.com	(78) 6615185
7992	00000000072	NON PORTTITOR LIGULA TINCIDUNT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	sapien8400	1620305@email.com	(22) 51503104
8103	00000000073	AENEAN MI NUNC BIBENDUM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	eget66863	6952141@email.com	(35) 4643730
8214	00000000074	EGET RUTRUM NON EGESTAS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	faucibus47958	7441373@email.com	(75) 92519216
8325	00000000075	NON RISUS SUSPENDISSE MOLESTIE	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	sem75266	8609318@email.com	(34) 37039832
8436	00000000076	EST ENIM SIT AMET	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	sed36032	1666688@email.com	(63) 41112504
8547	00000000077	ULTRICES LEO FRINGILLA A	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	eu74884	5029504@email.com	(31) 82180305
8658	00000000078	NUNC IN ORCI CONGUE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AGENTE TRAFEGO	purus21793	7917681@email.com	(56) 40440024
8769	00000000079	FEUGIAT ARCU AC LOBORTIS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	pretium49871	6914365@email.com	(22) 92566845
8880	00000000080	ENIM NAM MI DOLOR	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	urna12796	8786535@email.com	(92) 40248897
8991	00000000081	CONSECTETUR SODALES PULVINAR SIT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	mollis49998	4004333@email.com	(53) 99593788
9102	00000000082	AMET PLACERAT AT ELIT	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	DIGITADOR	blandit91405	1015181@email.com	(59) 62720906
9213	00000000083	PRAESENT RHONCUS VARIUS MAURIS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	ac54937	5473151@email.com	(40) 52883151
9324	00000000084	EGET PRETIUM NAM ULLAMCORPER	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	VISTORIADOR	vitae36966	3054043@email.com	(4) 27566091
9435	00000000085	ODIO NON DIAM AUCTOR	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	dui11220	5778130@email.com	(24) 44040397
9546	00000000086	ULLAMCORPER DONEC BLANDIT SAPIEN	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	DIRETOR I	donec5797	5963550@email.com	(5) 86757457
9657	00000000087	UT TORTOR VEHICULA IACULIS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	placerat61995	2627884@email.com	(32) 64245151
9768	00000000088	SIT AMET VITAE SEM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	 Outro	venenatis13459	837277@email.com	(78) 18173749
9879	00000000089	NULLA PHARETRA VELIT QUIS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	odio25147	9844703@email.com	(79) 46995077
9990	00000000090	LEO PORTTITOR QUIS ULTRICIES	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	pellentesque91338	579325@email.com	(40) 29468265
10101	00000000091	TORTOR PLACERAT MAECENAS VIVERRA	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	 Outro	accumsan34316	6174606@email.com	(70) 44928782
10212	00000000092	CONSEQUAT LOREM IN MOLESTIE	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	lacus31519	1123280@email.com	(8) 20064922
10323	00000000093	IN ULTRICES ALIQUAM CONSEQUAT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	sit40634	2204177@email.com	(46) 90629921
10434	00000000094	VIVAMUS FEUGIAT ACCUMSAN LEO	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	amet8833	6770556@email.com	(63) 53770939
10545	00000000095	SIT AMET RUTRUM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AGENTE ADMINISTRATIVO	justo85133	828628@email.com	(30) 92291673
10656	00000000096	FUSCE SOLLICITUDIN	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	condimentum64265	6565774@email.com	(36) 90005425
10767	00000000097	MASSA VEL DIGNISSIM SAGITTIS	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	DIRETOR TECNICO II	cursus82591	2723905@email.com	(22) 13801772
10878	00000000098	PURUS QUAM LAOREET TORTOR	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	vestibulum57478	3344552@email.com	(65) 24716100
10989	00000000099	UT FAUCIBUS VELIT NIBH	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	AUXILIAR ADMINISTRATIVO	et19902	6727311@email.com	(81) 88565152
11100	00000000100	QUIS MAURIS FUSCE LUCTUS	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	lectus39902	4196796@email.com	(80) 90400673
11211	00000000101	EROS NON ACCUMSAN PLACERAT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	a55263	5946373@email.com	(64) 18528011
11322	00000000102	LEO METUS HENDRERIT ORCI	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	lacus76227	894271@email.com	(51) 65816638
11433	00000000103	EGET BLANDIT AUGUE ENIM	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	consequat12927	3804080@email.com	(58) 6988421
11544	00000000104	SIT AMET ORCI UT	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	ESCRITURARIO	lacinia34744	836634@email.com	(68) 44843648
11655	00000000105	LAOREET POSUERE ENIM A	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	id5104	319627@email.com	(60) 76169279
11766	00000000106	DAPIBUS MORBI AT DOLOR	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	TURMA 1 - 2014 - G1	OFICIAL ADMINISTRATIVO	non91371	3987791@email.com	(81) 15084142
11877	00000000107	ODIO IN ET EST	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	TURMA 1 - 2014 - G2	OFICIAL ADMINISTRATIVO	turpis68796	7116739@email.com	(51) 18577275
